,Thème,Question,A,B,C,D,Bonne réponse
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les médias influencent davantage :,Les professionnels,Les débutants et les particuliers,Les autorités,Les fonds de pension,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,La surmédiatisation d’un événement peut :,Favoriser la prise de recul,Amplifier les réactions émotionnelles,Améliorer la diversification,Réduire les biais,B
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Quel est un bon réflexe face à une alerte médiatique ?,Analyser avec calme et recul,Réagir immédiatement,Ignorer tout,Tout vendre,A
🧠 Comportement & psychologie,Le rôle des médias dans les décisions financières,Les médias doivent être :,La base unique des décisions,Un complément à l’analyse personnelle,Suivis aveuglément,Remplacés par des influenceurs,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Pourquoi est-il utile d’apprendre de ses erreurs en bourse ?,Pour blâmer le marché,Pour progresser et éviter de les reproduire,Pour arrêter d’investir,Pour suivre les autres,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Une perte en bourse peut devenir :,Une condamnation,Un gain immédiat,Une leçon pour l’avenir,Un oubli,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Revenir sur ses erreurs permet :,D’oublier,De reproduire les mêmes actions,D’ajuster sa stratégie,De paniquer,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,L’analyse post-investissement aide à :,Justifier ses émotions,Valider les rumeurs,Identifier les erreurs commises,Ignorer les résultats,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Un investisseur expérimenté :,Ne fait jamais d’erreur,Apprend de chaque erreur,Suit toujours la foule,Évite l’épargne,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Le journal de bord d’investissement sert à :,Faire des prédictions,Documenter ses réussites uniquement,Analyser ses décisions passées,Publier sur les réseaux,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Reconnaître une erreur est :,Un signe de faiblesse,Inutile,Un outil de progression,Un échec définitif,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Une erreur non analysée peut :,Renforcer l’analyse,Se reproduire,Disparaître,Donner un rendement,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,L’échec peut être vu comme :,Un obstacle définitif,Une source d’apprentissage,Une punition,Un indicateur fiscal,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Pourquoi relire ses anciens choix d’investissement ?,Pour juger,Pour les publier,Pour comprendre ce qui a fonctionné ou non,Pour créer un buzz,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Une erreur fréquente en bourse est :,Investir de manière disciplinée,Ne jamais revoir sa stratégie,Analyser les performances,Diversifier,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Apprendre de ses erreurs permet :,De se décourager,De gagner immédiatement,De s’améliorer avec le temps,D’éviter toute perte future,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Les erreurs font partie :,D’une stratégie mal construite,De tout processus d’apprentissage,Du hasard,Des produits complexes,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Un bon investisseur :,Cache ses pertes,Se remet en question,Dépend des autres,Achète par instinct,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Le recul sur ses erreurs permet :,De s’éloigner du marché,D’agir sans émotion,De prendre des décisions plus éclairées,De se déresponsabiliser,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Une perte liée à une émotion forte doit être :,Ignorée,Justifiée,Acceptée et analysée,Reproduite,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Les erreurs sont souvent dues à :,Une bonne planification,Une rigueur excessive,Une impulsivité ou un manque de stratégie,Des conseils professionnels,C
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Une autocritique constructive est :,Nécessaire pour progresser,Un signe de faiblesse,À éviter,Réservée aux experts,A
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Une stratégie améliorée repose sur :,Des paris,"L’expérience, y compris les erreurs",Les conseils en ligne,La peur,B
🧠 Comportement & psychologie,Apprendre de ses erreurs en bourse,Le bon réflexe après une erreur est :,Se retirer définitivement,Investir le double,"Analyser, comprendre et ajuster",Chercher un bouc émissaire,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Une fausse croyance courante sur la richesse est :,Elle s’acquiert toujours par héritage,"Elle nécessite du travail, de l’épargne et des investissements",Elle est illégale,Elle est facile,A
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,La richesse réelle repose sur :,Le hasard,Des décisions financières réfléchies,Les jeux de hasard,Les réseaux sociaux,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Croire que seuls les riches peuvent investir est :,TRUE,Justifié,Une idée fausse,Recommandé,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Les millionnaires sont souvent :,Héritiers,Issus d’un travail constant et discipliné,Des célébrités,Chanceux uniquement,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,La richesse instantanée est :,Souvent une illusion,Facile à atteindre,Durable,Recommandée,A
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Accumuler des biens matériels garantit-il la richesse ?,Oui,Non,Toujours,Cela dépend du revenu passif,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Une croyance erronée est que :,Les riches investissent tôt,L’éducation financière est inutile,L’épargne est importante,Il faut diversifier,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Penser que l’argent est mauvais peut :,Favoriser la réussite,Créer des blocages mentaux,Encourager l’investissement,Aider à s’enrichir,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Une idée fausse est de croire que :,L’épargne régulière est utile,Le crédit doit être maîtrisé,La richesse vient sans effort,Le long terme est essentiel,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Quel comportement est associé à une croyance erronée ?,Ne pas investir par peur de perdre,Diversifier ses actifs,Suivre un budget,Se former en finance,A
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Les riches ne travaillent pas est :,Un fait,Une réalité sociale,Une croyance fausse,Un modèle à suivre,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Tous les riches sont malhonnêtes est :,Une certitude,Une vision simpliste et fausse,Toujours vrai,Un modèle de réussite,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,La richesse se construit surtout avec :,"Des revenus passifs, de la patience et de la gestion",Le shopping régulier,Des vacances fréquentes,Des salaires élevés seulement,A
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Les loteries créent-elles une richesse durable ?,Oui,Parfois,Rarement,Jamais,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Quel est un mythe sur la richesse ?,Elle demande de l’éducation,Elle arrive sans travail,Elle nécessite des investissements,Elle exige de la discipline,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Un obstacle mental à la richesse est :,La planification,La patience,Le rejet de l’argent,L’investissement régulier,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Penser qu’il faut beaucoup pour commencer à investir est :,Juste,Une barrière psychologique,Une règle officielle,Soutenu par les banques,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Le fantasme d’enrichissement rapide est :,Un moteur fiable,Un piège émotionnel,Une vérité,Un conseil de sagesse,B
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Une vraie stratégie de richesse inclut :,Les dépenses impulsives,Les tendances du moment,L’investissement à long terme,Le mimétisme social,C
🧠 Comportement & psychologie,Les fausses croyances sur la richesse,Les croyances erronées sur la richesse limitent :,La réussite,La fiscalité,Le temps libre,L’épargne des autres,A
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,Pourquoi la patience est-elle une qualité clé en bourse ?,Elle garantit les dividendes,Elle évite la volatilité,Elle permet de profiter des rendements du long terme,Elle empêche les erreurs,C
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,Un investissement long terme permet :,Des résultats rapides,De lisser les fluctuations,D’éviter toute perte,D’éviter l’impôt,B
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,Les marchés financiers à long terme ont tendance à :,S’effondrer,Sauter,Croître,Rester stables,C
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,La stratégie ‘acheter et conserver’ est efficace car :,Elle évite l’impôt,Elle réduit les frais et les erreurs émotionnelles,Elle garantit des gains mensuels,Elle suit les modes,B
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,La patience aide à :,Agir dans la panique,Vendre au bon moment émotionnel,Respecter son horizon d’investissement,Changer d’objectifs souvent,C
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,Les fluctuations à court terme :,Sont décisives,Sont normales et souvent insignifiantes à long terme,Sont à éviter à tout prix,Sont rares,B
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,Le temps sur le marché est plus important que :,Le choix de courtier,Le moment exact de l’entrée,Le montant initial,Le type de compte,B
🧠 Comportement & psychologie,Patience et long terme : l’allié de l’investisseur,L’effet cumulé est favorisé par :,La rotation fréquente du portefeuille,Les ventes fréquentes,Le long terme et la réinvestissement,Les investissements à crédit,C
